ds_municipio;LEGISLATIVA;ADMINISTRAÇÃO;EDUCAÇÃO;URBANISMO;SAÚDE;ASSISTÊNCIA SOCIAL;ENCARGOS ESPECIAIS;GESTÃO AMBIENTAL;DESPORTO E LAZER;CULTURA;SANEAMENTO
Assis;10784413,85;326114698,42;875190369,20;145151176,99;719734552,35;63329900,18;134804846,80;104484011,50;20991454,18;22679864,19;0,00
Bariri;8449349,86;110344747,90;337552678,18;70542033,04;215025061,85;29306222,40;31179456,31;2004,48;7245629,58;6742231,15;13306008,94
Cabrália Paulista;6215341,12;30563696,35;42434981,52;3349236,82;44171595,63;11469409,53;4055532,18;792,43;1766727,74;482338,59;77797,87
Cajati;25992572,43;86679419,68;280602938,06;114136954,23;261540445,36;48678014,52;7012642,57;2094967,10;19589087,55;14076981,42;770691,50
Campinas;1002269959,46;4068916448,31;9261099453,22;5160960731,99;12304188443,76;1462075917,44;2669829269,80;65452691,05;33975916,30;445682251,48;0,00
Capivari;31050496,55;182819548,17;510307819,49;139445206,16;331616471,92;54693069,09;202073837,37;4870434,02;10402270,99;11456803,87;247335694,40
Itaberá;17140766,76;52489346,74;141308450,62;55991648,47;147895817,15;25848586,05;8707854,28;2952674,33;2867695,38;3335758,11;0,00
Jundiaí;249510564,52;1206488700,63;4416039094,07;2138935351,94;4418839966,56;419044183,97;530720350,06;473719794,18;299444403,77;133471409,93;213498818,17
Lagoinha;4835353,73;19438529,57;41331512,44;10725751,06;48458153,40;3669004,58;675928,41;4416,00;627617,63;1823959,16;678471,46
Paraíso;8631972,06;22968799,37;68321069,50;14644266,23;65418196,07;7942680,66;2530422,72;262300,60;2416709,52;1196065,76;4669505,74
Presidente Epitácio;16031918,85;106022964,31;227516445,12;128314831,01;237250109,84;33153428,90;36217533,56;14730403,84;14518887,96;10061961,13;6780401,84
Santos;539917856,59;4081085869,28;5674456406,99;2505048816,76;5607756162,37;545228459,24;715060093,35;176370296,20;176809576,30;231904254,98;564000,00
São Bernardo do Campo;613487227,78;2025047225,46;7994349106,52;2928766125,17;9589909823,87;641307659,61;2539244891,93;67372951,92;223411953,65;161908698,31;60174594,35
São Caetano do Sul;402202119,29;1108322988,21;3991477477,88;1087741121,60;2884778105,93;304326282,56;714035420,55;28695376,32;350294628,47;63624840,62;1400472706,26
São Carlos;194450952,17;1080164544,85;1478582215,28;533632746,43;1851557738,28;118240884,01;433899245,27;10621618,40;45120147,34;21897073,94;869530808,29
São José da Bela Vista;9688969,25;25715823,08;74378894,51;15172234,00;49304143,09;12715587,34;3880076,01;1777852,67;1977475,92;1378330,77;3902989,03
São João do Pau d Alho;4295023,18;19979310,98;23082899,86;7658523,24;24867985,00;7413304,37;1320551,61;659434,33;648426,45;1355151,00;2084234,06
Valinhos;153306067,43;624710055,54;1084081371,94;357533238,52;987872760,34;118206300,94;239833135,03;3060,00;63472917,39;38079023,43;462894830,78
Águas de São Pedro;9372125,87;41920537,27;53577150,89;42456523,65;44965113,19;14592593,38;2257057,98;6921009,32;0,00;0,00;0,00
